date,Report ID,Component,Issue Observed,Inspection Method,Risk Impact,Corrective Action
1/31/24,CR-001,Jacket Water Heat Exchanger HX,Elevated outlet temperature,Manual reading + trend analysis,Medium,Cleaned exchanger tubes
9/17/23,CR-002,Component Cooling HX,Fouling on secondary side,Visual + ultrasonic,High,Scheduled chemical cleaning
6/17/22,CR-003,RHR HX,Flow rate oscillation,Flow meter + VFD logs,Medium,Recalibrated VFD controller
10/17/23,CR-004,Service Water HX,Corrosion on inlet piping,Visual + UT,High,Replaced corroded section
8/24/22,CR-005,HX Tube Bundle,Tube leak detected,Pressure decay test,High,Isolated and plugged tube
3/11/21,CR-006,HX Shell Side,Silting observed,Endoscopic inspection,Medium,Flushed and filtered system
6/3/24,CR-007,HX Gasket,Minor leak at flange,Dye penetrant test,Low,Re-torqued flange bolts
6/17/23,CR-008,HX Support Brackets,Vibration-induced fatigue,Vibration analysis,Medium,Reinforced supports
5/24/24,CR-009,HX Thermowell,Sensor drift,Calibration check,Low,Replaced thermowell
1/3/22,CR-010,HX Flow Control Valve,Stuck partially open,Manual override test,High,Replaced actuator
1/13/22,CR-011,HX Differential Pressure,Abnormal rise,DP transmitter logs,Medium,Backflushed exchanger
9/3/20,CR-012,HX Insulation,Degraded insulation,Visual + IR scan,Low,Re-insulated
1/23/24,CR-013,HX Drain Valve,Valve packing leak,Visual + pressure test,Low,Repacked valve
4/28/24,CR-014,HX Performance,Not meeting design spec,Performance test,High,Reassessed sizing
9/23/24,CR-015,HX Monitoring,Incomplete data logging,Audit of logs,Medium,Reconfigured data historian
