date,ID,description
11/10/24,13574,P2 impeller pitting observed.
2/1/21,14220,Pump P2 shaft journal worn.
4/23/21,11822,P2 casing gasket leaking.
2/4/24,18461,Pump P2 motor frame grounded.
6/5/23,14521,Pump P2 shaft key sheared.
10/15/23,19503,Pump P2 impeller nut loose.
12/27/24,13557,P2 suction pressure too low.
3/18/20,10188,P2 discharge pulsation observed.
3/29/24,16923,Pump P2 shaft vibration axial dominant.
9/25/24,12261,Pump P2 motor rotor unbalanced.
4/21/20,10310,Pump P2 impeller vane tip wear.
12/15/22,11706,Pump P2 shaft thermal growth excessive.
11/20/23,11508,Pump P2 motor bearing overheating.
9/28/21,10313,Pump P2suction cavitation damage.
9/28/21,11838,Pump P2 discharge check valve stuck.
9/19/22,15245,Pump P2 shaft cracked at coupling.
4/11/24,17512,P2 impeller hub cracked.
10/23/20,14147,P2 motor winding shorted.
8/6/23,12913,P2 suction pipe air pocket.
5/7/24,14755,P2 shaft lubrication failure.
3/20/21,13482,P2 impeller vane blockage.
9/27/24,13025,Pump P2 motor terminal loose.
3/6/20,19052,Pump P2 shaft axial thrust high.
10/25/21,19877,P2 impeller vane tip erosion.
10/29/20,15352,P2 suction pipe resonance.
8/28/23,10619,P2 motor capacitor failed.
1/13/23,11596,P2 shaft vibration radial dominant.
3/3/22,14747,Pump P2 impeller vane separation.
8/9/24,14711,Pump P2 motor winding insulation degraded.
10/31/24,11427,P2 suction pipe misaligned.
6/27/24,14190,Pump P2 shaft endplay fluctuating.
5/31/20,13169,Pump P2 impeller vane tip cavitation.
6/14/21,11573,P2 motor rotor bar cracked.
10/15/22,10153,P2 suction pipe support loose.
7/16/21,15843,Pump P2 shaft journal scoring.
3/10/22,19419,Pump P2 impeller vane tip bent.
5/29/23,12226,P2 motor stator winding burnt.
11/1/20,10665,P2: suction pipe gasket leaking.
11/11/20,19356,P2: shaft vibration harmonics present.
2/9/20,12895,P2:  impeller vane tip thinning.
1/24/23,13391,P2:  motor rotor eccentricity.
7/20/20,15687,P2:  suction pipe elbow cracked.
1/25/21,10776,P2:  shaft vibration phase shift.
3/1/22,14544,P2:  impeller vane tip delamination.
7/16/22,11368,P2:  motor winding resistance imbalance.
7/22/21,12404,Pump P2 suction pipe flange misaligned.
11/27/22,10128,Pump P2 shaft vibration frequency shift.
6/27/24,16914,Pump P2 impeller vane tip fatigue.
2/3/21,19353,P2 motor rotor imbalance.
4/29/20,14336,Pump P2 suction pipe weld crack.
