drum pressure,excess oxygen,water level,steam flow
320.08239,2.5067738999999998,0.0327013,9.3029701
321.71099,2.5459079,0.28479944,9.662620599999999
320.91331,2.3605615,0.20365165,10.990955
325.00252,0.027054182000000003,0.32618688,12.430107000000001
326.65276,0.28564943,0.75377625,13.681666
326.18692000000004,2.6313281,1.8518541000000002,14.608885999999998
326.5894,0.99785528,2.3023396000000003,15.7132
328.73489,0.0044741484,2.4473566000000004,16.536307
329.60969,0.75569421,3.0366202,17.025369
330.18527,0.15045549,3.5675485,17.61613
331.73911,0.01263697,3.4628086000000002,18.101964000000002
333.10733999999997,0.012963788,3.4233811000000003,18.617838
332.25268,0.0014304903,3.5421269,18.635723000000002
331.96419,1.261866,3.5426976999999997,18.751322000000002
332.25844,-0.0045331285,3.0332127,19.508894
332.69819,-0.036224068,2.1551742999999997,20.456632
333.7107,-0.028905017,2.130121,20.896455
334.92334,0.032445181000000003,2.2673874,21.027555
332.9222,0.06681917799999999,2.219328,20.836174
330.91511,-0.017981385,1.5736883,20.700635000000002
328.32674,1.3176017,1.2966647,20.394276
326.40365,3.1512736,0.55131593,20.221607000000002
323.65886,3.7267523999999996,-0.11594851,19.741009
322.06012999999996,3.5486489000000003,-0.54321366,19.849173999999998
320.43344,4.0108657,-1.1849543,19.753394
321.22979,0.60034758,-1.232502,19.778570000000002
319.58968,0.3598642,-1.678045,19.799858999999998
318.04452000000003,0.5383361,-1.5227472,19.439141
316.75435,0.59206284,-1.6997060000000002,19.584162
314.49788,2.2091654,-1.9981529999999998,19.499001999999997
313.33382,1.6364503000000001,-1.9931504,19.649351
311.81621,-0.0077152759,-2.1874439,19.328394
309.18216,0.087425935,-1.8598275000000002,19.169508999999998
307.86685,0.29962486,-2.3164103,19.235623
309.14512,0.9250397,-2.4560119,19.278401000000002
308.45215,0.020171863,-2.0323637999999997,19.340028
307.14218999999997,-0.010024978,-2.2042178,19.342076000000002
306.72141,-0.016982703999999998,-2.2121392999999996,19.112734
304.91388,1.7276907,-2.1534249,18.867467
304.23075,2.1234908,-2.020367,19.073703
303.29298,-0.0042111193,-2.6744984,19.238704000000002
303.03881,-0.024038614,-2.6075902,19.330707
303.59758999999997,-0.018974644,-2.552693,19.74182
304.0345,-0.0034896809999999997,-2.3948822999999995,19.829021
305.12324,0.019294486,-2.1151915,19.734189999999998
304.95864,-0.0017105370999999999,-1.9420953,19.722264000000003
